ITEM	CAL	FAT	SFAT	TFAT	CHOL	SALT	CARB	FBR	SGR	PRO	CATEGORY
Big Mac 7.6 oz (215 g)	550	29	10	1	75	970	46	3	9	25	BURGERSANDWICH
Quarter Pounder® with Cheese 7.1 oz (202 g)	520	26	12	1.5	95	1100	41	3	10	30	BURGERSANDWICH
Bacon Clubhouse Burger 9.5 oz (270 g)	720	40	15	1.5	115	1470	51	4	14	39	BURGERSANDWICH
Quarter Pounder Bacon Habanero Ranch 8.3 oz (235 g)	610	31	13	1.5	105	1180	46	3	10	37	BURGERSANDWICH
Quarter Pounder Bacon & Cheese 8 oz (227 g)	600	29	13	1.5	105	1440	48	3	12	37	BURGERSANDWICH
Quarter Pounder Deluxe 8.6 oz (244 g)	540	27	11	1.5	85	960	45	3	9	29	BURGERSANDWICH
Double Quarter Pounder with Cheese 10 oz (283 g)	750	43	19	2.5	160	1280	42	3	10	48	BURGERSANDWICH
Hamburger 3.5 oz (100 g)	250	9	3.5	0.5	25	480	31	2	6	12	BURGERSANDWICH
Cheeseburger 4 oz (114 g)	300	12	6	0.5	40	680	33	2	7	15	BURGERSANDWICH
BBQ Ranch Burger 4.1 oz (116 g)	350	16	6	0.5	45	680	37	3	7	16	BURGERSANDWICH
Grilled Onion Cheddar 4.1 oz (115 g)	310	13	6	0.5	40	660	33	2	7	15	BURGERSANDWICH
Double Cheeseburger 5.8 oz (165 g)	440	23	11	1.5	80	1050	34	2	7	25	BURGERSANDWICH
McDouble 5.3 oz (151 g)	390	19	8	1	65	850	33	2	7	23	BURGERSANDWICH
Bacon McDouble 5.8 oz (165 g)	460	24	10	1	85	1120	34	2	7	28	BURGERSANDWICH
Daily Double 6.8 oz (194 g)	440	24	9	1.5	70	770	33	2	7	23	BURGERSANDWICH
Bacon Clubhouse Crispy Chicken Sandwich 10 oz (284 g)	750	38	10	0.5	90	1720	65	4	16	36	BURGERSANDWICH
Bacon Clubhouse Grilled Chicken Sandwich 9.5 oz (270 g)	590	25	8	0	110	1560	51	4	14	40	BURGERSANDWICH
Premium Crispy Chicken Classic Sandwich 7.5 oz (213 g)	510	22	3.5	0	45	990	55	3	10	24	BURGERSANDWICH
Premium Grilled Chicken Classic Sandwich 7 oz (200 g)	350	9	2	0	65	820	42	3	8	28	BURGERSANDWICH
Premium Crispy Chicken Club Sandwich 8.8 oz (249 g)	670	33	9	0	85	1410	58	3	11	36	BURGERSANDWICH
Premium Grilled Chicken Club Sandwich 8.3 oz (235 g)	510	20	7	0	105	1250	44	3	9	40	BURGERSANDWICH
Premium Crispy Chicken Ranch BLT Sandwich 8 oz (227 g)	590	27	6	0	70	1380	57	3	11	32	BURGERSANDWICH
Premium Grilled Chicken Ranch BLT Sandwich 7.5 oz (214 g)	440	14	4	0	90	1210	43	3	9	36	BURGERSANDWICH
McChicken ® 5.1 oz (143 g)	360	16	3	0	35	800	40	2	5	14	BURGERSANDWICH
Buffalo Ranch McChicken 5.1 oz (145 g)	350	15	3	0	35	980	40	2	5	14	BURGERSANDWICH
Bacon Buffalo Ranch McChicken 5.6 oz (159 g)	420	20	4.5	0	50	1250	41	2	6	20	BURGERSANDWICH
Bacon Cheddar McChicken 6 oz (171 g)	480	24	7	0	65	1260	43	2	6	22	BURGERSANDWICH
Southern Style Crispy Chicken Sandwich 5.6 oz (159 g)	420	19	3	0	45	900	43	2	7	21	BURGERSANDWICH
Filet-O-Fish 5 oz (142 g)	390	19	4	0	40	590	39	2	5	15	BURGERSANDWICH
McRib ® 7.3 oz (208 g)	500	26	10	0	70	980	44	3	11	22	BURGERSANDWICH
Premium McWrap Southwest Chicken (Crispy) 10.2 oz (289 g)	670	33	8	0.5	60	1450	67	4	11	27	BURGERSANDWICH
Premium McWrap Southwest Chicken (Grilled) 9.7 oz (275 g)	510	20	6	0	80	1280	53	4	9	31	BURGERSANDWICH
Premium McWrap Chicken & Bacon (Crispy) 9.5 oz (269 g)	620	31	9	0.5	75	1490	54	3	6	32	BURGERSANDWICH
Premium McWrap Chicken & Bacon (Grilled) 9 oz (255 g)	460	18	7	0	95	1330	40	3	4	35	BURGERSANDWICH
Premium McWrap Chicken & Ranch (Crispy) 9.9 oz (280 g)	580	29	8	0.5	60	1290	55	3	7	26	BURGERSANDWICH
Premium McWrap Chicken & Ranch (Grilled) 9.4 oz (266 g)	420	16	6	0	80	1130	41	3	5	30	BURGERSANDWICH
Premium McWrap Chicken Sweet Chili (Crispy) 8.4 oz (239 g)	520	22	4.5	0	45	1190	57	2	11	23	BURGERSANDWICH
Premium McWrap Chicken Sweet Chili (Grilled) 8 oz (226 g)	360	9	2.5	0	65	1030	43	2	9	26	BURGERSANDWICH
Chipotle BBQ Snack Wrap (Crispy) 4.4 oz (124 g)	330	15	4.5	0	30	750	34	1	6	14	BURGERSANDWICH
Chipotle BBQ Snack Wrap (Grilled) 4.1 oz (117 g)	250	8	3.5	0	40	670	27	1	5	16	BURGERSANDWICH
Honey Mustard Snack Wrap (Crispy) 4.3 oz (123 g)	330	15	4.5	0	35	730	34	1	3	14	BURGERSANDWICH
Honey Mustard Snack Wrap (Grilled) 4.1 oz (116 g)	250	8	3.5	0	45	650	27	1	2	16	BURGERSANDWICH
Ranch Snack Wrap® (Crispy) 4.4 oz (125 g)	350	18	5	0	40	790	32	1	3	15	BURGERSANDWICH
Ranch Snack Wrap® (Grilled) 4.2 oz (118 g)	270	12	4	0	45	700	25	1	2	16	BURGERSANDWICH
Mac Snack Wrap 4.4 oz (125 g)	330	19	7	1	45	670	26	1	3	14	BURGERSANDWICH
Chicken McNuggets® (4 piece) 2.3 oz (65 g)	190	12	2	0	25	360	12	1	0	9	CHICKENFISH
Bacon Clubhouse Crispy Chicken Sandwich 10 oz (284 g)	750	38	10	0.5	90	1720	65	4	16	36	CHICKENFISH
Bacon Clubhouse Grilled Chicken Sandwich 9.5 oz (270 g)	590	25	8	0	110	1560	51	4	14	40	CHICKENFISH
Premium Crispy Chicken Classic Sandwich 7.5 oz (213 g)	510	22	3.5	0	45	990	55	3	10	24	CHICKENFISH
Premium Grilled Chicken Classic Sandwich 7 oz (200 g)	350	9	2	0	65	820	42	3	8	28	CHICKENFISH
Premium Crispy Chicken Club Sandwich 8.8 oz (249 g)	670	33	9	0	85	1410	58	3	11	36	CHICKENFISH
Premium Grilled Chicken Club Sandwich 8.3 oz (235 g)	510	20	7	0	105	1250	44	3	9	40	CHICKENFISH
Premium Crispy Chicken Ranch BLT Sandwich 8 oz (227 g)	590	27	6	0	70	1380	57	3	11	32	CHICKENFISH
Premium Grilled Chicken Ranch BLT Sandwich 7.5 oz (214 g)	440	14	4	0	90	1210	43	3	9	36	CHICKENFISH
McChicken ® 5.1 oz (143 g)	360	16	3	0	35	800	40	2	5	14	CHICKENFISH
Buffalo Ranch McChicken 5.1 oz (145 g)	350	15	3	0	35	980	40	2	5	14	CHICKENFISH
Bacon Buffalo Ranch McChicken 5.6 oz (159 g)	420	20	4.5	0	50	1250	41	2	6	20	CHICKENFISH
Bacon Cheddar McChicken 6 oz (171 g)	480	24	7	0	65	1260	43	2	6	22	CHICKENFISH
Southern Style Crispy Chicken Sandwich 5.6 oz (159 g)	420	19	3	0	45	900	43	2	7	21	CHICKENFISH
Filet-O-Fish 5 oz (142 g)	390	19	4	0	40	590	39	2	5	15	CHICKENFISH
Premium McWrap Southwest Chicken (Crispy) 10.2 oz (289 g)	670	33	8	0.5	60	1450	67	4	11	27	CHICKENFISH
Premium McWrap Southwest Chicken (Grilled) 9.7 oz (275 g)	510	20	6	0	80	1280	53	4	9	31	CHICKENFISH
Premium McWrap Chicken & Bacon (Crispy) 9.5 oz (269 g)	620	31	9	0.5	75	1490	54	3	6	32	CHICKENFISH
Premium McWrap Chicken & Bacon (Grilled) 9 oz (255 g)	460	18	7	0	95	1330	40	3	4	35	CHICKENFISH
Premium McWrap Chicken & Ranch (Crispy) 9.9 oz (280 g)	580	29	8	0.5	60	1290	55	3	7	26	CHICKENFISH
Premium McWrap Chicken & Ranch (Grilled) 9.4 oz (266 g)	420	16	6	0	80	1130	41	3	5	30	CHICKENFISH
Premium McWrap Chicken Sweet Chili (Crispy) 8.4 oz (239 g)	520	22	4.5	0	45	1190	57	2	11	23	CHICKENFISH
Premium McWrap Chicken Sweet Chili (Grilled) 8 oz (226 g)	360	9	2.5	0	65	1030	43	2	9	26	CHICKENFISH
Chipotle BBQ Snack Wrap (Crispy) 4.4 oz (124 g)	330	15	4.5	0	30	750	34	1	6	14	CHICKENFISH
Chipotle BBQ Snack Wrap (Grilled) 4.1 oz (117 g)	250	8	3.5	0	40	670	27	1	5	16	CHICKENFISH
Honey Mustard Snack Wrap (Crispy) 4.3 oz (123 g)	330	15	4.5	0	35	730	34	1	3	14	CHICKENFISH
Honey Mustard Snack Wrap (Grilled) 4.1 oz (116 g)	250	8	3.5	0	45	650	27	1	2	16	CHICKENFISH
Ranch Snack Wrap® (Crispy) 4.4 oz (125 g)	350	18	5	0	40	790	32	1	3	15	CHICKENFISH
Ranch Snack Wrap® (Grilled) 4.2 oz (118 g)	270	12	4	0	45	700	25	1	2	16	CHICKENFISH
Premium Bacon Ranch Salad with Crispy Chicken 11.3 oz (319 g)	390	22	6	0	70	870	24	4	7	26	CHICKENFISH
Premium Bacon Ranch Salad with Grilled Chicken 10.8 oz (306 g)	230	9	4	0	85	700	10	4	5	30	CHICKENFISH
Premium Southwest Salad with Crispy Chicken 12.3 oz (350 g)	450	21	4.5	0	50	820	42	7	13	23	CHICKENFISH
Premium Southwest Salad with Grilled Chicken 11.8 oz (335 g)	290	8	2.5	0	70	650	28	7	11	27	CHICKENFISH
Chicken McNuggets® (10 piece) 5.7 oz (162 g)	470	30	5	0	65	900	30	2	0	22	CHICKENFISH
Chicken McNuggets® (20 piece) 11.4 oz (323 g)	940	59	10	0	135	1800	59	3	0	44	CHICKENFISH
Chicken McNuggets® (6 piece) 3.4 oz (97 g)	280	18	3	0	40	540	18	1	0	13	CHICKENFISH
Chicken Selects® Premium Breast Strips (5 pc) 7.3 oz (206 g)	640	38	6	0	90	1240	36	1	0	38	CHICKENFISH
Spicy Chicken McBites™ Shareable Size 10 oz (284 g)	910	55	10	0	120	1990	61	1	1	46	CHICKENFISH
Chicken McNuggets® (40 piece) 22.8 oz (646 g)	1880	118	20	1	265	3600	118	6	1	87	CHICKENFISH
Mighty Wings (10 piece) 11.1 oz (314 g)	960	63	13	0.5	295	2900	40	4	0	60	CHICKENFISH
Mighty Wings (5 piece) 5.5 oz (157 g)	480	31	7	0	145	1450	20	2	0	30	CHICKENFISH
Spicy Chicken McBites™ Snack Size 3 oz (85 g)	270	17	3	0	35	600	18	0	0	14	CHICKENFISH
Fruit 'n Yogurt Parfait 5.2 oz (149 g)	150	2	1	0	5	70	30	1	23	4	BREAKFAST
Egg McMuffin® 4.8 oz (135 g)	290	12	5	0	260	740	31	4	3	17	BREAKFAST
Egg White Delight 4.7 oz (134 g)	250	7	3	0	25	770	30	4	3	18	BREAKFAST
Sausage McMuffin® 3.9 oz (110 g)	360	22	8	0	45	780	29	4	2	14	BREAKFAST
Sausage McMuffin® with Egg 5.6 oz (160 g)	440	27	10	0	285	850	30	4	2	21	BREAKFAST
Steak & Egg McMuffin 6.5 oz (184 g)	420	23	9	1	300	950	31	4	3	26	BREAKFAST
Bacon, Egg & Cheese Biscuit (Regular Size Biscuit) 5.3 oz (150 g)	460	26	13	0	250	1300	38	2	3	19	BREAKFAST
Sausage Biscuit (Regular Size Biscuit) 4.1 oz (117 g)	430	27	12	0	30	1080	34	2	2	11	BREAKFAST
Sausage Biscuit with Egg (Regular Size Biscuit) 5.7 oz (163 g)	510	33	14	0	250	1170	36	2	2	18	BREAKFAST
Steak & Egg Biscuit (Regular Biscuit) 7.1 oz (201 g)	540	32	16	1	280	1470	38	2	3	25	BREAKFAST
Bacon, Egg & Cheese McGriddles 6.1 oz (174 g)	460	21	9	0	250	1250	48	2	15	19	BREAKFAST
Sausage McGriddles® 5 oz (141 g)	420	22	8	0	35	1030	44	2	15	11	BREAKFAST
Sausage, Egg & Cheese McGriddles® 7.1 oz (201 g)	550	31	12	0	265	1320	48	2	15	20	BREAKFAST
Bacon, Egg & Cheese Bagel 7 oz (199 g)	630	32	11	0.5	275	1490	57	3	7	30	BREAKFAST
Steak, Egg & Cheese Bagel 8.6 oz (243 g)	680	35	13	1.5	300	1520	57	3	7	33	BREAKFAST
Big Breakfast® (Regular Size Biscuit) 9.5 oz (269 g)	740	48	17	0	555	1560	51	3	3	28	BREAKFAST
Big Breakfast with Hotcakes (Regular Size Biscuit) 14.8 oz (420 g)	1090	56	19	0	575	2150	111	6	17	36	BREAKFAST
Cinnamon Melts 4 oz (114 g)	460	19	9	0	15	370	66	3	32	6	BREAKFAST
Hotcakes 5.3 oz (151 g)	350	9	2	0	20	590	60	3	14	8	BREAKFAST
Hotcakes and Sausage 6.8 oz (192 g)	520	24	7	0	50	930	61	3	14	15	BREAKFAST
Southern Style Chicken Biscuit (Regular Size Biscuit) 5 oz (143 g)	410	20	8	0	30	1180	41	2	3	17	BREAKFAST
Sausage Burrito 3.9 oz (111 g)	300	16	7	0	115	790	26	1	2	12	BREAKFAST
Hash Brown 2 oz (56 g)	150	9	1.5	0	0	310	15	2	0	1	BREAKFAST
Bacon, Egg & Cheese Biscuit (Large Size Biscuit) 5.8 oz (164 g)	520	30	14	0	250	1410	43	3	4	19	BREAKFAST
Big Breakfast with Hotcakes (Large Size Biscuit) 15.3 oz (434 g)	1150	60	20	0	575	2260	116	7	17	36	BREAKFAST
Big Breakfast® (Large Size Biscuit) 10 oz (283 g)	800	52	18	0	555	1680	56	4	3	28	BREAKFAST
Sausage Biscuit (Large Size Biscuit) 4.6 oz (131 g)	480	31	13	0	30	1190	39	3	3	11	BREAKFAST
Sausage Biscuit with Egg (Large Size Biscuit) 6.2 oz (177 g)	570	37	15	0	250	1280	42	3	3	18	BREAKFAST
Southern Style Chicken Biscuit (Large Size Biscuit) 5.5 oz (157 g)	470	24	9	0	30	1290	46	3	4	17	BREAKFAST
Bacon, Egg & Cheese Bagel with Egg Whites 7.2 oz (203 g)	580	26	9	0.5	60	1490	55	3	8	30	BREAKFAST
Bacon, Egg & Cheese Biscuit with Egg Whites (Large Biscuit) 5.9 oz (167 g)	470	25	12	0	35	1420	42	3	4	20	BREAKFAST
Bacon, Egg & Cheese Biscuit with Egg Whites (RegularBiscuit) 5.4 oz (153 g)	410	20	11	0	35	1300	36	2	3	20	BREAKFAST
Bacon, Egg & Cheese McGriddles with Egg Whites 6.3 oz (178 g)	400	15	7	0	35	1250	47	2	16	20	BREAKFAST
Big Breakfast with Egg Whites (Large Size Biscuit) 10.1 oz (286 g)	690	41	14	0	35	1700	55	4	4	26	BREAKFAST
Big Breakfast with Egg Whites (Regular Size Biscuit) 9.6 oz (272 g)	640	37	14	0	35	1590	50	3	3	26	BREAKFAST
Big Breakfast with Hotcakes and Egg Whites (Large Biscuit) 15.4 oz (437 g)	1050	50	16	0	55	2290	115	7	18	35	BREAKFAST
Big Breakfast with Hotcakes and Egg Whites (Regular Biscuit) 14.9 oz (423 g)	990	46	16	0	55	2170	110	6	17	35	BREAKFAST
Fruit & Maple Oatmeal  9.6 oz (251 g)	290	4	1.5	0	5	160	58	5	32	5	BREAKFAST
Fruit & Maple Oatmeal without Brown Sugar 9.6 oz (251 g)	260	4	1.5	0	5	115	49	5	18	5	BREAKFAST
Sausage Biscuit with Egg Whites (Large Size Biscuit) 6.4 oz (181 g)	520	32	13	0	35	1290	40	3	3	18	BREAKFAST
Sausage Biscuit with Egg Whites (Regular Size Biscuit) 5.9 oz (167 g)	460	27	12	0	35	1180	34	2	3	18	BREAKFAST
Sausage McMuffin with Egg Whites 5.6 oz (159 g)	390	22	8	0	50	870	30	4	2	21	BREAKFAST
Sausage, Egg & Cheese McGriddles with Egg Whites 7.2 oz (205 g)	500	26	10	0	50	1320	46	2	15	21	BREAKFAST
Premium Bacon Ranch Salad (without chicken) 7.9 oz (223 g)	140	7	3.5	0	25	300	10	3	4	9	SALAD
Premium Bacon Ranch Salad with Crispy Chicken 11.3 oz (319 g)	390	22	6	0	70	870	24	4	7	26	SALAD
Premium Bacon Ranch Salad with Grilled Chicken 10.8 oz (306 g)	230	9	4	0	85	700	10	4	5	30	SALAD
Premium Southwest Salad (without chicken) 8.1 oz (230 g)	140	4.5	2	0	10	150	20	6	6	6	SALAD
Premium Southwest Salad with Crispy Chicken 12.3 oz (350 g)	450	21	4.5	0	50	820	42	7	13	23	SALAD
Premium Southwest Salad with Grilled Chicken 11.8 oz (335 g)	290	8	2.5	0	70	650	28	7	11	27	SALAD
Side Salad 3.1 oz (87 g)	20	0	0	0	0	10	4	1	2	1	SALAD
Small French Fries 2.5 oz (71 g)	230	11	1.5	0	0	160	29	3	0	3	SNACKSIDE
Apple Slices 1.2 oz (34 g)	15	0	0	0	0	0	4	0	3	0	SNACKSIDE
Side Salad 3.1 oz (87 g)	20	0	0	0	0	10	4	1	2	1	SNACKSIDE
Fruit 'n Yogurt Parfait 5.2 oz (149 g)	150	2	1	0	5	70	30	1	23	4	SNACKSIDE
Chipotle BBQ Snack Wrap (Crispy) 4.4 oz (124 g)	330	15	4.5	0	30	750	34	1	6	14	SNACKSIDE
Chipotle BBQ Snack Wrap (Grilled) 4.1 oz (117 g)	250	8	3.5	0	40	670	27	1	5	16	SNACKSIDE
Honey Mustard Snack Wrap (Crispy) 4.3 oz (123 g)	330	15	4.5	0	35	730	34	1	3	14	SNACKSIDE
Honey Mustard Snack Wrap (Grilled) 4.1 oz (116 g)	250	8	3.5	0	45	650	27	1	2	16	SNACKSIDE
Ranch Snack Wrap® (Crispy) 4.4 oz (125 g)	350	18	5	0	40	790	32	1	3	15	SNACKSIDE
Ranch Snack Wrap® (Grilled) 4.2 oz (118 g)	270	12	4	0	45	700	25	1	2	16	SNACKSIDE
Mac Snack Wrap 4.4 oz (125 g)	330	19	7	1	45	670	26	1	3	14	SNACKSIDE
Large French Fries 5.4 oz (154 g)	500	25	3.5	0	0	350	63	6	0	6	SNACKSIDE
Medium French Fries 4.1 oz (117 g)	380	19	2.5	0	0	270	48	5	0	4	SNACKSIDE
Kids Fries 1.1 oz (31 g)	100	5	0.5	0	0	70	13	1	0	1	SNACKSIDE
1% Low Fat Milk Jug 1 carton (236 ml)	100	2.5	1.5	0	10	125	12	0	12	8	BEVERAGE
Fat Free Chocolate Milk Jug 1 carton (236 ml)	130	0	0	0	5	135	23	1	22	9	BEVERAGE
Minute Maid® 100% Apple Juice Box 6 fl oz (177 ml)	80	0	0	0	0	15	21	0	19	0	BEVERAGE
Minute Maid® Orange Juice (Small) 12 fl oz cup	150	0	0	0	0	0	34	0	30	2	BEVERAGE
Dasani® Water 16.9 fl oz	0	0	0	0	0	0	0	0	0	0	BEVERAGE
Coca-Cola® Classic (Small) 16 fl oz cup	140	0	0	0	0	0	39	0	39	0	BEVERAGE
Diet Coke® (Small) 16 fl oz cup	0	0	0	0	0	10	0	0	0	0	BEVERAGE
