player,team,minutes_per_game,free_throw_pct,avg_rebounds,average_assists,personal_fouls,pts,season
Quincy Acy,NYK,22.2,0.846,6,1.3,2.9,5.1,2014-2015
Jordan Adams,MEM,10.3,0.75,0.8,1.3,1,1.5,2014-2015
Steven Adams,OKC,26.6,0.521,6.6,0.9,3.4,8.3,2014-2015
Arron Afflalo,DEN,30.6,0.871,3.2,1.6,2.1,13.8,2014-2015
Alexis Ajinca,NOP,12.7,0.8,3.6,0.3,2.8,4.8,2014-2015
Cole Aldrich,NYK,10.3,1,3.4,0.7,2.3,2.2,2014-2015
LaMarcus Aldridge,POR,34.8,0.848,8.8,2.4,1.6,22.2,2014-2015
Lavoy Allen,IND,22.6,0.875,7.6,1.3,2.2,6.9,2014-2015
Tony Allen,MEM,26.7,0.619,4.5,1.8,3.4,7.3,2014-2015
Al-Farouq Aminu,DAL,16.5,0.615,4.2,0.5,1.7,5.1,2014-2015
Louis Amundson,CLE,7.5,0.5,2.3,0.5,1.5,1.8,2014-2015
Chris Andersen,MIA,15.8,0.444,2.9,0.4,1.4,2.2,2014-2015
Alan Anderson,BRK,18.5,0.727,2.4,0.6,2.2,4.1,2014-2015
Kyle Anderson,SAS,13.1,0.667,2.4,1,1.1,0.9,2014-2015
Ryan Anderson,NOP,27.8,0.8,5.2,0.7,2.2,15.3,2014-2015
Giannis Antetokounmpo,MIL,26.7,0.738,5.5,1.8,2.3,11.8,2014-2015
Carmelo Anthony,NYK,34.5,0.763,5.8,3.2,2.7,23.2,2014-2015
Joel Anthony,DET,7.1,0,1.9,0.1,1.3,0.8,2014-2015
Pero Antic,ATL,16.5,0.727,3,0.7,1.9,4.8,2014-2015
Trevor Ariza,HOU,36.1,0.868,5.6,2.6,2.4,13.6,2014-2015
Darrell Arthur,DEN,15.5,0.786,3.6,1.1,2.5,7.1,2014-2015
Omer Asik,NOP,27.1,0.548,9.7,1.3,2.8,8.3,2014-2015
D.J. Augustin,DET,22.6,0.828,2,3,1.4,10.1,2014-2015
Jeff Ayres,SAS,8.4,1,2.6,0.5,1.6,1.8,2014-2015
Luke Babbitt,NOP,12.9,NA,1.8,0.7,1.7,2.2,2014-2015
Cameron Bairstow,CHI,7.5,0.5,0.8,0.3,1.3,0.8,2014-2015
Leandro Barbosa,GSW,15.4,0.667,1.5,1.5,1.8,6.3,2014-2015
Jose Barea,DAL,16.6,0.818,1.6,4.4,1.5,8.1,2014-2015
Harrison Barnes,GSW,29.6,0.8,5.8,1.5,1.8,11.1,2014-2015
Matt Barnes,LAC,25.3,0.706,2.1,0.5,2.6,7.8,2014-2015
Will Barton,POR,10.4,0.4,0.8,0.8,1.1,2.7,2014-2015
Brandon Bass,BOS,18.5,0.889,3.4,1,1.5,8.3,2014-2015
Nicolas Batum,POR,31.9,0.9,6.8,5,2.1,9,2014-2015
Jerryd Bayless,MIL,17.6,0.96,1.5,2,1.9,5.9,2014-2015
Aron Baynes,SAS,16.5,0.765,4.8,0.8,2.7,6.4,2014-2015
